"id","partnumber","description","manufacturer","lib","aircraft","created_at","updated_at"
"96","5701801","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"97","5701802","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"98","5701803","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"99","5702224","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"100","5702225","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"101","5702226","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"102","7824791","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"103","7824792","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"104","7825221","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"105","7825222","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"106","7825223","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"107","7825224","BALLSCREW ASSY","THOMPSON SAGINAW","41",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"108","960442","HYDRAULIC RESERVOIR ASSEMBLY","PARKER","42",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"109","D23221000","L/H UNLOCKING ACTUATOR, MLG","SAFRAN LS","43",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"110","D23222000","R/H UNLOCKING ACTUATOR, MLG","SAFRAN LS","43",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"111","D22924000","SWITCH ASSEMBLY, MLG","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"112","D22924010","SWITCH ASSEMBLY, MLG","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"113","D23105000","UPPER EXTERIOR  ELECTRICAL HARNESS, LH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"114","D23106000","UPPER EXTERIOR  ELECTRICAL HARNESS, LH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"115","D23107000","LOWER EXTERIOR ELECTRICAL HARNESS, LH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"116","D23108000","LOWER EXTERIOR ELECTRICAL HARNESS, LH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"117","D23109000","UPPER INTERIOR   ELECTRICAL HARNESS, LH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"118","D23110000","UPPER INTERIOR   ELECTRICAL HARNESS, RH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"119","D23111000","LOWER INTERIOR  ELECTRICAL HARNESS, LH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"120","D23112000","LOWER INTERIOR  ELECTRICAL HARNESS, LH","SAFRAN LS","44",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"121","D23219000","SIDE BRACE ASSEMBLY","SAFRAN LS","45",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"122","D23219100","SIDE BRACE ASSEMBLY","SAFRAN LS","45",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"123","D23220000","SIDE BRACE ASSEMBLY","SAFRAN LS","45",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"124","D23220100","SIDE BRACE ASSEMBLY","SAFRAN LS","45",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"125","69210","VALVE, SEQUENCE","EATON AEROSPACE","46",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"126","4951651","VALVE, START BY-PASS","HAMILTON SUNDSTRAND","47",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"127","82970018","MAIN GEAR DOOR DUAL ACTUATOR","DE HAVILLAND","48",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"128","82970014","MAIN GEAR/CENTER DOOR ACTUATOR","DE HAVILLAND","49",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"129","46100","SHOCK STRUT ASSEMBLY, DRESSED, MLG","GOODRICH","50",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"130","46165","ELECTRICAL HARNESS ASSEMBLY, MLG","GOODRICH","51",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"131","46170","ELECTRICAL HARNESS ASSEMBLY, MLG","GOODRICH","51",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"132","734181B","FLAP DRIVE ACTUATOR ASSEMBLY","HAMILTON SUNDSTRAND","52",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"133","734181C","FLAP DRIVE ACTUATOR ASSEMBLY","HAMILTON SUNDSTRAND","52",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"134","734181D","FLAP DRIVE ACTUATOR ASSEMBLY","HAMILTON SUNDSTRAND","52",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"135","734374B","FLAP DRIVE ACTUATOR ASSEMBLY","HAMILTON SUNDSTRAND","52",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"136","734374C","FLAP DRIVE ACTUATOR ASSEMBLY","HAMILTON SUNDSTRAND","52",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"137","734374D","FLAP DRIVE ACTUATOR ASSEMBLY","HAMILTON SUNDSTRAND","52",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"138","755216","FLAP DRIVE ACTUATOR ASSEMBLY","HAMILTON SUNDSTRAND","52",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"139","979078-10","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"140","979078-1","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"141","979078-11","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"142","979078-2","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"143","979078-3","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"144","979078-4","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"145","979078-8","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"146","979078-9","VALVE, SHUT-OFF","HONEYWELL","53",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"147","46350","YOKE ASSEMBLY, MLG","GOODRICH","54",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"148","46400","STABILIZED BRACE ASSEMBLY,MLG","GOODRICH","54",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"149","46450","STABILIZER BRACE ELECTRICAL HARNESS ASSEMBLY","GOODRICH","54",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"150","46460","STABILIZER BRACE ELECTRICAL HARNESS ASSEMBLY","GOODRICH","54",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"151","46600","LOCK ACTUATOR ASSEMBLY, MLG","GOODRICH","55",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"152","3214960","SHUTOFF VALVE","HONEYWELL","56",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"153","6799A010001","PRESSURE CONTROL VALVE","LIEBHERR","57",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"154","6799A010001 AMDT A","PRESSURE CONTROL VALVE","LIEBHERR","57",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"155","24120-000","RESTRICTOR","SAFRAN LS","58",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"156","17008","MLG SIDE STAY ACTUATOR ASSEMBLY","GE AVIATION","59",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"157","3755","ACTUATOR, AC","HONEYWELL","60",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"158","67-0033","ACTUATOR, AC","HONEYWELL","60",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"159","67-2906","MOTOR OPERATED AIR SHUTOFF VALVE","HONEYWELL","60",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"160","41012130","AILERON DAMPER ASSEMBLY","HR TEXTRON","61",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"161","D22716000","FREE FALL ASSISTER, MLG","SAFRAN LS","62",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"162","820971","REGULATING & SHUTOFF VALVE","HAMILTON SUNDSTRAND","63",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"163","130009G","ELECTRIC MOTOR OPERATED ACTUATOR","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"164","975237","HYDRAULIC FIREWALL SHUTOFF VALVE","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"165","975248","HYDRAULIC FIREWALL SHUTOFF VALVE","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"166","975266","HYDRAULIC FIREWALL SHUTOFF VALVE","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"167","975306","HYDRAULIC FIREWALL SHUTOFF VALVE","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"168","AV24B1428","HYDRAULIC FIREWALL SHUTOFF VALVE","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"169","AV24B1445","HYDRAULIC FIREWALL SHUTOFF VALVE","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"170","AV24B1461","HYDRAULIC FIREWALL SHUTOFF VALVE","ITT AEROSPACE","64",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"171","17002","MAIN LANDING GEAR","SAFRAN LS","65",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"172","16520","NLG RETRACTION ACTUATOR ASSY","SAFRAN LS","66",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"173","16400","NLG DRAG BRACE ASSEMBLY","SAFRAN LS","67",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"174","16300","STEERING ACTUATOR ASSEMBLY","SAFRAN LS","68",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"175","16480","NLG STEERING MANIFOLD ASSEMBLY","SAFRAN LS","68",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"176","17300","CL601-RJ HARNESS","SAFRAN LS","69",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"177","A25451001","UPLOCK ASSY","SAFRAN LS","70",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"178","A25452001","UPLOCK ASSY","SAFRAN LS","70",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"179","A25453001","UPLOCK ASSY","SAFRAN LS","70",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"180","A25454001","UPLOCK ASSY","SAFRAN LS","70",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"181","88003A0101","VALVE, GROUND VENTING","LIEBHERR","71",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"182","88003A0201","VALVE, GROUND VENTING","LIEBHERR","71",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"183","88003B0101","VALVE, GROUND VENTING","LIEBHERR","71",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"184","88003B0201","VALVE, GROUND VENTING","LIEBHERR","71",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"185","9201A01","ACTUATOR","ABG-SEMCA","71",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"186","9201A02","ACTUATOR","ABG-SEMCA","71",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
